run_id,server,machine_tag,root_path,eval_csv,train_csv,command_txt,domain,task_id,env,config_name,method_group,seed,target_steps,final_step,status,final_success,final_return,final_length,best_peak_success,best_peak_step,best_peak_return,best_peak_length,peak_after_500k_success,peak_after_500k_step,drop_final_from_peak,trajectory_short,has_train_csv,has_command_txt,has_checkpoint,notes,source_kind,source_file,vf_baseline,collapse,severe_collapse,recommended_fix
single4090__audit__scene-play-singletask-task4-v0__A2_action_std_lam0p003__seed2__300000__sd002_20260608_234523,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260608_234523/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260608_234523/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,A2_action_std_lam0p003,A2,2,300000,300000,completed_300k,0.0,-769.6,750.0,0.9,100000,-529.4,304.2,,,-0.9,1:0 -> 100k:0.9 -> 200k:0.2 -> 300k:0,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260608_234523/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__A1_action_std_lam0p001__seed2__300000__sd002_20260608_223033,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_A1_action_std_lam0p001_seed2/sd002_20260608_223033/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_A1_action_std_lam0p001_seed2/sd002_20260608_223033/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,A1_action_std_lam0p001,A1,2,300000,300000,completed_300k,0.0,-792.9,750.0,0.7,150000,-611.7,468.2,,,-0.7,1:0 -> 100k:0.2 -> 200k:0.6 -> 300k:0,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_A1_action_std_lam0p001_seed2/sd002_20260608_223033/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__A1_action_std_lam0p001__seed2__300000__sd002_20260620_140539,single4090-new,seetacloud-cqa1-31499,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A1_action_std_lam0p001_seed2/sd002_20260620_140539/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A1_action_std_lam0p001_seed2/sd002_20260620_140539/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,A1_action_std_lam0p001,A1,2,300000,300000,completed_300k,0.1,-799.9,692.7,0.7,250000,-810.2,595.1,,,-0.6,1:0 -> 100k:0.3 -> 200k:0.3 -> 300k:0.1,True,False,False,,eval_csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A1_action_std_lam0p001_seed2/sd002_20260620_140539/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__MinimalSB_lam0p001__seed2__300000__sd002_20260608_211603,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_MinimalSB_lam0p001_seed2/sd002_20260608_211603/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_MinimalSB_lam0p001_seed2/sd002_20260608_211603/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,MinimalSB_lam0p001,MinimalSB,2,300000,300000,completed_300k,0.1,-736.5,692.3,0.7,200000,-718.3,579.9,,,-0.6,1:0 -> 100k:0.3 -> 200k:0.7 -> 300k:0.1,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_MinimalSB_lam0p001_seed2/sd002_20260608_211603/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__R2_residual_disagree_lam0p001__seed2__300000__sd002_20260609_010005,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260609_010005/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260609_010005/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,R2_residual_disagree_lam0p001,R2,2,300000,300000,completed_300k,0.1,-798.8,748.9,0.7,250000,-653.1,478.0,,,-0.6,1:0 -> 100k:0.3 -> 200k:0.2 -> 300k:0.1,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260609_010005/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__cube-triple-play-singletask-task1-v0__FullSafe__seed1__1000000__sd001_20260527_031556,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-triple-play-singletask-task1-v0_pm_fullsafe_official_highmem/sd001_20260527_031556/eval.csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-triple-play-singletask-task1-v0_pm_fullsafe_official_highmem/sd001_20260527_031556/train.csv,,cube-triple-play,task1,cube-triple-play-singletask-task1-v0,FullSafe,FullSafe,1,1000000,1000000,completed_1m,0.3,-884.4,837.3,0.7,250000,-684.4,685.1,0.7,900000,-0.39999999999999997,1:0 -> 100k:0.2 -> 200k:0.2 -> 300k:0.3 -> 400k:0.5 -> 500k:0.3 -> 600k:0.3 -> 700k:0.2 -> 800k:0.6 -> 900k:0.7 -> 1000k:0.3,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-triple-play-singletask-task1-v0_pm_fullsafe_official_highmem/sd001_20260527_031556/eval.csv,0.59,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__selective_state_stageB_1m__puzzle-4x4-play-singletask-task1-v0__A2_action_std_lam0p003__seed2__1000000,single4090,single4090-stageB,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/selective_state_stageB_1m_single4090/exp/stageB_1m_puzzle_4x4_task1_A2_action_std_lam0p003_seed2/sd002_20260618_031757/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_stageB_1m_single4090/exp/stageB_1m_puzzle_4x4_task1_A2_action_std_lam0p003_seed2/sd002_20260618_031757/train.csv,,puzzle-4x4-play,task1,puzzle-4x4-play-singletask-task1-v0,A2_action_std_lam0p003,A2,2,1000000,1000000,completed_1m,0.3,-2154.3,405.8,0.7,300000,,,0.5,700000,-0.39999999999999997,,True,False,,lightweight_source=results/experiment_runs.csv,lightweight_csv,results/experiment_runs.csv,0.36,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__stageA_300k__puzzle-4x4-play-singletask-task3-v0__A2_action_std_lam0p003__seed2__300000,single4090,single4090-selective,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A2_action_std_lam0p003_seed2/sd002_20260616_130825/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A2_action_std_lam0p003_seed2/sd002_20260616_130825/train.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A2_action_std_lam0p003_seed2/sd002_20260616_130825/command.txt,puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,A2_action_std_lam0p003,A2,2,300000,300000,completed_300k,0.3,-1807.3,441.8,0.7,250000,,,,,-0.39999999999999997,,True,True,,lightweight_source=results/experiment_runs.csv,lightweight_csv,results/experiment_runs.csv,0.3,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__R2_residual_disagree_lam0p001__seed2__300000__sd002_20260620_163655,single4090-new,seetacloud-cqa1-31499,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_163655/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_163655/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,R2_residual_disagree_lam0p001,R2,2,300000,300000,completed_300k,0.0,-800.4,750.0,0.6,100000,-725.8,512.9,,,-0.6,1:0 -> 100k:0.6 -> 200k:0.3 -> 300k:0,True,False,False,,eval_csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_163655/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task2-v0__MinimalSB_lam0p001__seed1__1000000__sd001_20260614_055017,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed1/sd001_20260614_055017/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed1/sd001_20260614_055017/train.csv,,puzzle-4x4-play,task2,puzzle-4x4-play-singletask-task2-v0,MinimalSB_lam0p001,MinimalSB,1,1000000,1000000,completed_1m,0.1,-1551.6,481.1,0.6,900000,-1187.6,392.9,0.6,900000,-0.5,1:0 -> 100k:0.2 -> 200k:0 -> 300k:0.1 -> 400k:0 -> 500k:0.2 -> 600k:0 -> 700k:0 -> 800k:0.2 -> 900k:0.6 -> 1000k:0.1,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed1/sd001_20260614_055017/eval.csv,0.27,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__stageA_300k__puzzle-4x4-play-singletask-task3-v0__P0_particle__seed2__300000,single4090,single4090-selective,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_P0_particle_seed2/sd002_20260616_011303/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_P0_particle_seed2/sd002_20260616_011303/train.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_P0_particle_seed2/sd002_20260616_011303/command.txt,puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,P0_particle,P0,2,300000,300000,completed_300k,0.2,-1786.5,456.9,0.6,200000,,,,,-0.39999999999999997,,True,True,,lightweight_source=results/experiment_runs.csv,lightweight_csv,results/experiment_runs.csv,0.3,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__P0_particle__seed2__300000__sd002_20260620_175503,single4090-new,seetacloud-cqa1-31499,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_P0_particle_seed2/sd002_20260620_175503/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_P0_particle_seed2/sd002_20260620_175503/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,P0_particle,P0,2,300000,300000,completed_300k,0.2,-851.5,734.1,0.6,100000,-779.3,542.3,,,-0.39999999999999997,1:0 -> 100k:0.6 -> 200k:0.2 -> 300k:0.2,True,False,False,,eval_csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_P0_particle_seed2/sd002_20260620_175503/eval.csv,0.07,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
