method,env,seed,restore_path,restore_epoch,run_dir,params_file,source
ours,puzzle-4x4-play-singletask-task3-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_051144,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_051144,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_051144/params_500000.pkl,offline2online_pretrain
ours,puzzle-4x4-play-singletask-task3-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260706_031946,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260706_031946,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260706_031946/params_500000.pkl,offline2online_pretrain
ours,scene-play-singletask-task4-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_103343,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_103343,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_103343/params_500000.pkl,offline2online_pretrain
ours,scene-play-singletask-task4-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260706_114459,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260706_114459,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_scene_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260706_114459/params_500000.pkl,offline2online_pretrain
value_flows,cube-double-play-singletask-task4-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed2/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed2/sd002_20260703_154854,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed2/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed2/sd002_20260703_154854,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed2/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed2/sd002_20260703_154854/params_500000.pkl,offline2online_pretrain
value_flows,cube-double-play-singletask-task4-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed3/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed3/sd003_20260706_201510,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed3/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed3/sd003_20260706_201510,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed3/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed3/sd003_20260706_201510/params_500000.pkl,offline2online_pretrain
value_flows,puzzle-4x4-play-singletask-task3-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed2/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed2/sd002_20260703_190906,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed2/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed2/sd002_20260703_190906,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed2/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed2/sd002_20260703_190906/params_500000.pkl,offline2online_pretrain
value_flows,puzzle-4x4-play-singletask-task3-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed3/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed3/sd003_20260707_013022,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed3/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed3/sd003_20260707_013022,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed3/o2o_pretrain_puzzle-4x4_value_flows_ckpt500k_default_seed3/sd003_20260707_013022/params_500000.pkl,offline2online_pretrain
value_flows,scene-play-singletask-task4-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_value_flows_ckpt500k_default_seed2/o2o_pretrain_scene_value_flows_ckpt500k_default_seed2/sd002_20260703_225416,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_value_flows_ckpt500k_default_seed2/o2o_pretrain_scene_value_flows_ckpt500k_default_seed2/sd002_20260703_225416,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_value_flows_ckpt500k_default_seed2/o2o_pretrain_scene_value_flows_ckpt500k_default_seed2/sd002_20260703_225416/params_500000.pkl,offline2online_pretrain
value_flows,scene-play-singletask-task4-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_value_flows_ckpt500k_default_seed3/o2o_pretrain_scene_value_flows_ckpt500k_default_seed3/sd003_20260707_071034,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_value_flows_ckpt500k_default_seed3/o2o_pretrain_scene_value_flows_ckpt500k_default_seed3/sd003_20260707_071034,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_value_flows_ckpt500k_default_seed3/o2o_pretrain_scene_value_flows_ckpt500k_default_seed3/sd003_20260707_071034/params_500000.pkl,offline2online_pretrain
