server,eval_csv,run_dir,env,domain,task,config,seed,target_steps,final_step,status,success_final,return_final,length_final,success_best,best_step,drop_from_best,success_peak_after_500k,peak_step_after_500k,trajectory,mtime
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260609_212452/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260609_212452,visual-antmaze-medium-navigate-singletask-task2-v0,visual-antmaze-medium-navigate,task2,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0.6,-756,756.6,0.6,300000,0,,,0:0 -> 100k:0.2 -> 200k:0.1 -> 300k:0.6,2026-06-09T22:46:05
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260609_224657/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260609_224657,visual-antmaze-medium-navigate-singletask-task3-v0,visual-antmaze-medium-navigate,task3,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.2,-918,918.2,0.5,200000,-0.3,,,0:0 -> 100k:0.3 -> 200k:0.5 -> 300k:0.2,2026-06-10T00:03:52
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260609_224657/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260609_224657,visual-antmaze-medium-navigate-singletask-task3-v0,visual-antmaze-medium-navigate,task3,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0.1,-941,941.1,0.5,200000,-0.4,,,0:0 -> 100k:0.3 -> 200k:0.5 -> 300k:0.1,2026-06-10T00:06:41
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_000702/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_000702,visual-antmaze-medium-navigate-singletask-task4-v0,visual-antmaze-medium-navigate,task4,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.3,-903.3,903.6,0.4,200000,-0.1,,,0:0 -> 100k:0.1 -> 200k:0.4 -> 300k:0.3,2026-06-10T01:23:38
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_000702/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_000702,visual-antmaze-medium-navigate-singletask-task4-v0,visual-antmaze-medium-navigate,task4,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0.2,-912.3,912.5,0.6,250000,-0.4,,,0:0 -> 100k:0 -> 200k:0.2 -> 300k:0.2,2026-06-10T01:28:02
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_012907/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_012907,visual-antmaze-medium-navigate-singletask-task5-v0,visual-antmaze-medium-navigate,task5,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.1,-939.1,939.2,0.2,100000,-0.1,,,0:0 -> 100k:0.2 -> 200k:0 -> 300k:0.1,2026-06-10T02:46:07
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_012907/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_012907,visual-antmaze-medium-navigate-singletask-task5-v0,visual-antmaze-medium-navigate,task5,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0.1,-940.2,940.3,0.1,100000,0,,,0:0 -> 100k:0.1 -> 200k:0 -> 300k:0.1,2026-06-10T02:50:22
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_025111/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_025111,visual-antmaze-teleport-navigate-singletask-task1-v0,visual-antmaze-teleport-navigate,task1,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.1,-939.6,939.7,0.1,300000,0,,,0:0 -> 100k:0 -> 200k:0 -> 300k:0.1,2026-06-10T04:08:14
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_025112/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_025112,visual-antmaze-teleport-navigate-singletask-task1-v0,visual-antmaze-teleport-navigate,task1,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0,-1000,1000,0.4,100000,-0.4,,,0:0 -> 100k:0.4 -> 200k:0 -> 300k:0,2026-06-10T04:12:21
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_041317/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_041317,visual-antmaze-teleport-navigate-singletask-task2-v0,visual-antmaze-teleport-navigate,task2,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0,-1000,1000,0.1,100000,-0.1,,,0:0 -> 100k:0.1 -> 200k:0 -> 300k:0,2026-06-10T05:30:34
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_041317/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_041317,visual-antmaze-teleport-navigate-singletask-task2-v0,visual-antmaze-teleport-navigate,task2,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0,-1000,1000,0.4,250000,-0.4,,,0:0 -> 100k:0.1 -> 200k:0 -> 300k:0,2026-06-10T05:33:39
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_053423/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_053423,visual-antmaze-teleport-navigate-singletask-task3-v0,visual-antmaze-teleport-navigate,task3,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.3,-856.1,856.4,0.3,300000,0,,,0:0 -> 100k:0.2 -> 200k:0.1 -> 300k:0.3,2026-06-10T06:51:56
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_053423/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_053423,visual-antmaze-teleport-navigate-singletask-task3-v0,visual-antmaze-teleport-navigate,task3,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0,-1000,1000,0.3,250000,-0.3,,,0:0 -> 100k:0.1 -> 200k:0.1 -> 300k:0,2026-06-10T06:55:48
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_065626/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_065626,visual-antmaze-teleport-navigate-singletask-task4-v0,visual-antmaze-teleport-navigate,task4,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0,-1000,1000,0.1,50000,-0.1,,,0:0 -> 100k:0.1 -> 200k:0 -> 300k:0,2026-06-10T08:13:50
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_065627/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_065627,visual-antmaze-teleport-navigate-singletask-task4-v0,visual-antmaze-teleport-navigate,task4,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0.1,-948.8,948.9,0.2,50000,-0.1,,,0:0 -> 100k:0 -> 200k:0.1 -> 300k:0.1,2026-06-10T08:17:51
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_081831/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_081831,visual-antmaze-teleport-navigate-singletask-task5-v0,visual-antmaze-teleport-navigate,task5,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0,-1000,1000,0,1,0,,,0:0 -> 100k:0 -> 200k:0 -> 300k:0,2026-06-10T09:35:30
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_081831/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_081831,visual-antmaze-teleport-navigate-singletask-task5-v0,visual-antmaze-teleport-navigate,task5,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0.1,-989.1,989.2,0.2,150000,-0.1,,,0:0 -> 100k:0.1 -> 200k:0 -> 300k:0.1,2026-06-10T09:39:41
